[0mCHECKING: 0[0m
Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [0    ] The Void                                     (3001)
   2) [1    ] Limbo                                        
   3) [2    ] KEEP OUT                                     
   4) [3    ] KEEP OUT                                     
   5) [4    ] KEEP OUT                                     
   6) [5    ] KEEP OUT                                     
   7) [6    ] KEEP OUT                                     
   8) [10   ] The Fog                                      

>[0;00m
[0mCHECKING: 1[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [100  ] Hallway                                      (3001)
   2) [101  ] Hallway                                      
   3) [102  ] Hallway                                      
   4) [103  ] Dining Hall                                  
   5) [104  ] Library                                      
   6) [105  ] Western Hallway                              
   7) [106  ] The Adept's chamber                          
   8) [107  ] Western Hallway                              
   9) [108  ] Western Hallway                              
  10) [109  ] The Attendants' Chamber                      
  11) [110  ] Darkened Hallway                             
  12) [111  ] Darkened Hallway                             
  13) [112  ] Cellar Access                                
  14) [113  ] The Acolytes' Chamber                        
  15) [114  ] Western Hallway                              
  16) [115  ] Believers' Dormitory                         
  17) [116  ] Western Hallway                              
  18) [117  ] The Deacon's Chamber                         
  19) [118  ] Western Hallway                              
  20) [119  ] The Vicar's Chamber                          
  21) [120  ] The Priest's Chamber                         
  22) [121  ] Western Hallway                              
  23) [122  ] Western Hallway                              
  24) [123  ] Western Hallway                              
  25) [124  ] Western Hallway                              
  26) [125  ] Western Hallway                              
  27) [126  ] Western Hallway                              
  28) [127  ] The Study                                    
  29) [128  ] The Minister's Chamber                       
  30) [129  ] The Novices' Chamber                         
  31) [130  ] The Missionary's Chamber                     
  32) [131  ] The Missionary's Chamber                     
  33) [132  ] Western Hallway                              
  34) [133  ] The Canon's Chamber                          
  35) [134  ] The Levite's Chamber                         
  36) [135  ] Western Hallway                              
  37) [136  ] The Curate's Chamber                         
  38) [137  ] Western Hallway                              
  39) [138  ] The Healer's Chamber                         
  40) [139  ] The Monk's Chamber                           
  41) [140  ] Western Hallway                              
  42) [141  ] The Chaplain's Chamber                       
  43) [142  ] The Expositor's Chamber                      
  44) [143  ] Western Hallway                              
  45) [144  ] The Bishop's Chamber                         
  46) [145  ] Western Hallway                              
  47) [146  ] The Patriarch's Chamber                      
  48) [147  ] The Arch Bishop's Chamber                    
  49) [148  ] The High Priest's Anteroom                   
  50) [149  ] The High Priest's Bedroom                    
  51) [150  ] The Study of the High Priest                 
  52) [151  ] The Closet of the High Priest                
  53) [152  ] The Secret Chamber of the High Priest        
  54) [153  ] Western Hallway                              
  55) [154  ] Cellar Access                                
  56) [155  ] Attic Access                                 
  57) [156  ] Attic                                        
  58) [157  ] Attic                                        
  59) [158  ] Attic                                        
  60) [159  ] Attic above the Library                      
  61) [160  ] Western Hallway                              
  62) [161  ] Northern Library                             
  63) [162  ] Library Second Floor                         
  64) [163  ] Cellar                                       
  65) [164  ] Cellar                                       
  66) [165  ] The Secret Passageway of the High Priest     
  67) [166  ] A secret passage!                            (3904)
  68) [167  ] A small stone room                           
